Amherst Island PS,Amherst Island Public School
Amherstview Public School,Amherstview Public School
Bath PS,Bath Public School
BAYRIDGE LEARNING CENTRE (Collins Bay PS - back entrance),Bayridge Learning Centre
Bayridge Public School,Bayridge Public School
Bayridge SS,Bayridge Secondary School
Calvin Park PS,Calvin Park Public School
Cataraqui Woods ES,Cataraqui Woods Elementary School
Centennial PS,Centennial Public School
Central PS,Central Public School
Centreville PS,Central Public School
Clarendon Central PS,Clarendon Central Public School
Collins Bay PS,Collins Bay Public School
Ecole Maple ES,Ecole Maple Elementary School
Elginburg & District Public School,Elginburg & District Public School
Enterprise PS,Enterprise Public School
Ernestown SS,Ernestown Secondary School
Fairfield ES,Fairfield Elementary School
Frontenac SS,Frontenac Secondary School
Gateway,Gateway Community Education Centre
Glenburnie PS,Glenburnie Public School
Granite Ridge Education Centre - Elementary,Granite Ridge Education Centre - Elementary
Granite Ridge Education Centre - Secondary,Granite Ridge Education Centre - Secondary
Harrowsmith PS,Harrowsmith Public School
JG Simcoe PS,John Graves Simcoe Public School
Joyceville PS,Joyceville Public School
JR Henderson PS,James R Henderson
Katarokwi Learning Centre (164 Van Order Dr),Katarokwi Learning Centre
Kingston SS,Kingston Secondary School
Lancaster Drive PS,Lancaster Drive Public School 
Land O Lakes PS,Land O'Lakes Public School
LaSalle Intermediate School,LaSalle Intermediate School 
LaSalle SS,La Salle Secondary School
LCVI,Loyalist Collegiate and Vocational Institute
Limestone School of Community Education,Limestone School of Community Education
Lord Strathcona PS,Lord Strathcona Public School
Loughborough PS,Loughborough Public School
Marysville PS,Marysville Public School
Module de l'Acadie,Module de l'Acadie
Module Vanier,Module Vanier
Molly Brant ES,Molly Brant Elementary School
NAEC - Elementary,North Addington Education Centre Elem
NAEC - Secondary,North Addington Education Centre Secondary
Napanee District SS,Napanee District Secondary School
Newburgh PS,Newburgh Public School
Odessa PS,Odessa Public School
Perth Road PS,Perth Road Public School
Polson Park PS,Polson Park Public School
Prince Charles PS - Verona,Prince Charles Public School
Qecvi,
R.G. Sinclair PS,R Gordon Sinclair Public School
Rideau Heights PS,Rideau Heights Public School
Rideau PS,Rideau Public School 
School Name,
Selby PS,Selby Public School
Southview PS,Southview Public School
Storrington PS,Storrington Public School
Sydenham HS,Sydenham High School
Sydenham PS,Sydenham Public School
Tamworth ES,Tamworth Elementary School
The Prince Charles School PS,The Prince Charles School
Truedell PS,Truedell Public School
W.J. Holsgrove PS,W J Holsgrove Public School 
Welborne Avenue PS,Welborne Avenue Public School
Winston Churchill PS,Winston Churchill Public School
