097055,Amherst Island Public School                
018791,Amherstview Public School                   
033235,Bath Public School                          
945437,Bayridge Learning Centre                    
034959,Bayridge Public School                      
893773,Bayridge Secondary School                   
076120,Calvin Park Public School                   
088471,Cataraqui Woods Elementary School           
090158,Centennial Public School                    
092371,Central Public School                       
099260,Centreville Public School                   
108499,Clarendon Central Public School             
119547,Collins Bay Public School                   
136700,Denbigh Public School                       
226482,Ecole Maple Elementary School               
208367,Elementary Remote Learning                  
170895,Elginburg & District Public School          
184284,Enterprise Public School                    
909181,Ernestown Secondary School                  
191027,Fairfield Elementary School                 
206512,Frontenac Public School                     
911135,Frontenac Secondary School                  
911585,Gateway Community Education Centre          
218219,Glenburnie Public School                    
987735,Gould Lake Outdoor Centre                   
601342,Granite Ridge Education Centre - Elementary 
930348,Granite Ridge Education Centre - Secondary  
245909,Harrowsmith Public School                   
281786,James R Henderson                           
514721,John Graves Simcoe Public School            
447790,Joyceville Public School                    
254617,Katarokwi Elementary Learning Centre        
936740,Katarokwi Learning Centre                   
919977,Kingston Collegiate and Vocational Institute
931089,Kingston Secondary School                   
920592,La Salle Secondary School                   
306037,Lancaster Drive Public School               
307831,Land O'Lakes Public School                  
052045,LaSalle Intermediate School                 
994413,Limestone District School - Night           
962236,Limestone School of Community Education     
321567,Lord Strathcona Public School               
322997,Loughborough Public School                  
924130,Loyalist Collegiate and Vocational Institute
616796,Marysville Public School                    
599271,Module de l'Acadie                          
206199,Module Vanier                               
344149,Molly Brant Elementary School               
927902,Napanee District Secondary School           
384615,Newburgh Public School                       
403040,North Addington Education Centre Elem       
890596,North Addington Education Centre Secondary  
415421,Odessa Public School                        
441589,Perth Road Public School                    
449873,Polson Park Public School                   
451690,Portsmouth Public School                    
453129,Prince Charles Public School                
467553,R Gordon Sinclair Public School             
483419,Rideau Heights Public School                
483540,Rideau Public School                        
505099,Selby Public School                         
240828,Southview Public School                     
538922,Storrington Public School                   
946494,Sydenham High School                        
544779,Sydenham Public School                      
547891,Tamworth Elementary School                  
551376,The Prince Charles School                   
562289,Truedell Public School                      
263320,W J Holsgrove Public School                 
591270,Welborne Avenue Public School               
615625,Winston Churchill Public School             
